mps_name,constituency,office_budget,reason_for_budget_set,office_spend,remaining_office_budget,staffing_budget,reason_for_budget_staffing_budget,staffing_spend,remaining_staffing_budget,accommodation_budget,reason_for_budget_accommodation_budget,accommodation_spend,remaining_accommodation_budget,travel_and_subsistence_uncapped,other_costs_uncapped,pid
Liz Twist,Blaydon BC,30570.00,Standard non-London area budget,25003.28,5566.72,236170.00,Standard non-London area budget,224771.94,11398.06,26840.00,Standard budget for renting a property in the London area,22312.41,4527.59,7288.53,0.00,4618
Lloyd Russell-Moyle,"Brighton, Kemptown BC",30570.00,Standard non-London area budget,30570.00,0.00,236170.00,Standard non-London area budget,236170.00,0.00,26840.00,Standard budget for renting a property in the London area,9471.77,17368.23,18203.61,0.00,4615
Louie French,Old Bexley and Sidcup BC,33840.00,Standard London area budget,12441.44,21398.56,252870.00,Standard London area budget,113848.61,139021.39,0.00,,0.00,0.00,0.00,0.00,4932
Louise Haigh,"Sheffield, Heeley BC",30570.00,Standard non-London area budget,23491.64,7078.36,236170.00,Standard non-London area budget,203027.56,33142.44,26840.00,Standard budget for renting a property in the London area,22916.87,3923.13,5384.19,0.00,4473
Lucy Allan,Telford BC,30570.00,Standard non-London area budget,13823.98,16746.02,236170.00,Standard non-London area budget,155447.22,80722.78,19090.00,Standard budget for renting a property outside the London area,8126.72,10963.28,2734.79,0.00,4411
Lucy Frazer,South East Cambridgeshire CC,30570.00,Standard non-London area budget,10679.40,19890.60,236170.00,Standard non-London area budget,210847.91,25322.09,0.00,,0.00,0.00,768.22,0.00,4517
Lucy Powell,Manchester Central BC,30570.00,Standard non-London area budget,24246.39,6323.61,236170.00,Standard non-London area budget,231207.02,4962.98,0.00,,0.00,0.00,10490.80,0.00,4263
Luke Evans,Bosworth CC,30570.00,Standard non-London area budget,22706.51,7863.49,236170.00,Standard non-London area budget,213233.42,22936.58,26840.00,Standard budget for renting a property in the London area,24198.48,2641.52,5675.94,912.15,4781
Luke Hall,Thornbury and Yate CC,30570.00,Standard non-London area budget,28745.32,1824.68,236170.00,Standard non-London area budget,211064.31,25105.69,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",17960.00,21120.00,7976.70,0.00,4450
Luke Pollard,"Plymouth, Sutton and Devonport BC",30570.00,Standard non-London area budget,26798.57,3771.43,236170.00,Standard non-London area budget,227964.09,8205.91,26840.00,Standard budget for renting a property in the London area,25974.62,865.38,13928.58,0.00,4682
Lyn Brown,West Ham BC,33840.00,Standard London area budget,15999.10,17840.90,252870.00,Standard London area budget,249182.28,3687.72,0.00,,0.00,0.00,150.00,0.00,1583
Maggie Throup,Erewash CC,30570.00,Standard non-London area budget,28319.62,2250.38,236170.00,Standard non-London area budget,207732.42,28437.58,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,6567.25,0.00,4447
Marco Longhi,Dudley North BC,30570.00,Standard non-London area budget,27353.56,3216.44,236170.00,Standard non-London area budget,186502.87,49667.13,26840.00,Standard budget for renting a property in the London area,14980.74,11859.26,13109.71,0.00,4789
Marcus Fysh,Yeovil CC,30570.00,Standard non-London area budget,21356.70,9213.30,236170.00,Standard non-London area budget,194994.98,41175.02,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",39080.00,0.00,4482.00,3330.00,4446
Marcus Jones,Nuneaton CC,30570.00,Standard non-London area budget,28601.32,1968.68,236170.00,Standard non-London area budget,231469.90,4700.10,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",32345.40,6734.60,7633.37,0.00,4024
Margaret Beckett,Derby South BC,30570.00,Standard non-London area budget,8421.19,22148.81,236170.00,Standard non-London area budget,174307.55,61862.45,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),4250.61,2079.39,8118.32,0.00,328
Margaret Ferrier,Rutherglen and Hamilton West BC,15368.53,Standard non-London area budget until 1 October 2023,12304.50,3064.03,118730.27,Standard non-London area budget until 1 October 2023,117570.47,1159.80,13493.33,Standard budget for renting a property in the London area until 1 October 2023,4165.00,9328.33,8465.45,0.00,4386
Margaret Greenwood,Wirral West CC,30570.00,Standard non-London area budget,19080.41,11489.59,236170.00,Standard non-London area budget,209289.22,26880.78,26840.00,Standard budget for renting a property in the London area,23389.62,3450.38,2600.39,0.00,4400
Margaret Hodge,Barking BC,33840.00,Standard London area budget,18392.03,15447.97,252870.00,Standard London area budget,238936.72,13933.28,0.00,,0.00,0.00,167.27,0.00,140
Maria Caulfield,Lewes CC,30570.00,Standard non-London area budget,29892.22,677.78,236170.00,Standard non-London area budget,177696.89,58473.11,0.00,,0.00,0.00,2109.72,0.00,4492
Maria Eagle,Garston and Halewood BC,30570.00,Standard non-London area budget,17520.54,13049.46,236170.00,Standard non-London area budget,231263.29,4906.71,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6178.19,151.81,3345.40,0.00,483
Maria Miller,Basingstoke BC,30570.00,Standard non-London area budget,28876.55,1693.45,236170.00,Standard non-London area budget,208944.15,27225.85,26840.00,Standard budget for renting a property in the London area,4025.00,22815.00,6407.56,0.00,1480
Marie Rimmer,St Helens South and Whiston BC,30570.00,Standard non-London area budget,25026.39,5543.61,236170.00,Standard non-London area budget,196898.08,39271.92,26840.00,Standard budget for renting a property in the London area,11547.98,15292.02,14249.25,0.00,4457
Marion Fellows,Motherwell and Wishaw BC,30570.00,Standard non-London area budget,24073.64,6496.36,236170.00,Standard non-London area budget,176803.54,59366.46,26840.00,Standard budget for renting a property in the London area,23654.11,3185.89,20803.17,0.00,4440
Mark Eastwood,Dewsbury CC,30570.00,Standard non-London area budget,26746.32,3823.68,236170.00,Standard non-London area budget,208079.94,28090.06,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",14614.41,18345.59,15947.59,0.00,4807
