mps_name,constituency,office_budget,reason_for_budget_set,office_spend,remaining_office_budget,staffing_budget,reason_for_budget_staffing_budget,staffing_spend,remaining_staffing_budget,accommodation_budget,reason_for_budget_accommodation_budget,accommodation_spend,remaining_accommodation_budget,travel_and_subsistence_uncapped,other_costs_uncapped,pid
Chris Pincher,Tamworth CC,18458.94,Standard non-London area budget until 7 November 2023,10725.78,7733.16,142605.38,Standard non-London area budget until 7 November 2023,75996.72,66608.66,16206.67,Standard budget for renting a property in the London area until 7 November 2023,12624.96,3581.71,1283.57,29280.75,4075
Chris Skidmore,Kingswood BC,28648.94,Standard non-London area budget until 8 March 2024,17220.46,11428.48,221328.72,Standard non-London area budget until 8 March 2024,171458.12,49870.60,5932.21,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities) until 8 March 2024,3744.52,2187.69,819.20,30272.87,4021
Chris Stephens,Glasgow South West BC,30570.00,Standard non-London area budget,28480.07,2089.93,236170.00,Standard non-London area budget,230073.73,6096.27,26840.00,Standard budget for renting a property in the London area,25243.63,1596.37,22343.98,0.00,4463
Christian Wakeford,Bury South BC,30570.00,Standard non-London area budget,29801.21,768.79,236170.00,Standard non-London area budget,220568.43,15601.57,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",32333.54,626.46,22056.37,0.00,4871
Christina Rees,Neath CC,30570.00,Standard non-London area budget,16290.93,14279.07,236170.00,Standard non-London area budget,162606.60,73563.40,26840.00,Standard budget for renting a property in the London area,14150.00,12690.00,3145.83,360.00,4525
Christine Jardine,Edinburgh West BC,30570.00,Standard non-London area budget,27446.52,3123.48,236170.00,Standard non-London area budget,225558.21,10611.79,26840.00,Standard budget for renting a property in the London area,23198.72,3641.28,33729.93,0.00,4634
Christopher Chope,Christchurch CC,30570.00,Standard non-London area budget,27292.78,3277.22,236170.00,Standard non-London area budget,209191.88,26978.12,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6099.27,230.73,5525.80,0.00,242
Claire Coutinho,East Surrey CC,33840.00,Standard London area budget,14410.96,19429.04,252870.00,Standard London area budget,180409.81,72460.19,0.00,,0.00,0.00,671.03,912.15,4806
Claire Hanna,Belfast South BC,30570.00,Standard non-London area budget,24615.77,5954.23,236170.00,Standard non-London area budget,218871.46,17298.54,26840.00,Standard budget for renting a property in the London area,5273.40,21566.60,31484.91,0.00,4827
Claudia Webbe,Leicester East BC,30570.00,Standard non-London area budget,30286.22,283.78,236170.00,Standard non-London area budget,236170.00,0.00,19090.00,Standard budget for renting a property outside the London area,16766.43,2323.57,11935.86,0.00,4848
Clive Betts,Sheffield South East BC,30570.00,Standard non-London area budget,29334.17,1235.83,236170.00,Standard non-London area budget,214673.67,21496.33,26840.00,Standard budget for renting a property in the London area,26068.25,771.75,10031.85,0.00,394
Clive Efford,Eltham BC,33840.00,Standard London area budget,23669.44,10170.56,252870.00,Standard London area budget,223525.60,29344.40,0.00,,0.00,0.00,520.00,912.15,165
Clive Lewis,Norwich South BC,30570.00,Standard non-London area budget,27641.67,2928.33,236170.00,Standard non-London area budget,231805.80,4364.20,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",26675.88,6284.12,5372.10,0.00,4500
Colleen Fletcher,Coventry North East BC,30570.00,Standard non-London area budget,11433.64,19136.36,236170.00,Standard non-London area budget,167635.09,68534.91,26840.00,Standard budget for renting a property in the London area,24069.83,2770.17,6105.79,0.00,4378
Colum Eastwood,Foyle CC,30570.00,Standard non-London area budget,27622.33,2947.67,236170.00,Standard non-London area budget,223336.13,12833.87,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",29409.87,9670.13,31467.82,0.00,4846
Conor Burns,Bournemouth West BC,30570.00,Standard non-London area budget,30325.86,244.14,236170.00,Standard non-London area budget,217415.19,18754.81,26840.00,Standard budget for renting a property in the London area,23323.65,3516.35,4066.53,0.00,3922
Conor McGinn,St Helens North BC,30570.00,Standard non-London area budget,24256.67,6313.33,236170.00,Standard non-London area budget,171165.78,65004.22,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",26237.77,12842.23,10626.66,0.00,4458
Craig Mackinlay,South Thanet CC,30570.00,Standard non-London area budget,28355.15,2214.85,236170.00,Standard non-London area budget,172953.56,63216.44,19090.00,Standard budget for renting a property outside the London area,8807.81,10282.19,4729.90,0.00,4529
Craig Tracey,North Warwickshire CC,30570.00,Standard non-London area budget,19250.18,11319.82,236170.00,Standard non-London area budget,185398.67,50771.33,26840.00,Standard budget for renting a property in the London area,17864.10,8975.90,7596.34,0.00,4509
Craig Whittaker,Calder Valley CC,30570.00,Standard non-London area budget,17619.56,12950.44,236170.00,Standard non-London area budget,213522.22,22647.78,26840.00,Standard budget for renting a property in the London area,24446.07,2393.93,9369.43,0.00,3940
Craig Williams,Cardiff North BC,30570.00,Standard non-London area budget,26447.29,4122.71,236170.00,Standard non-London area budget,226699.24,9470.76,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",37980.87,1099.13,15926.87,0.00,4438
Crispin Blunt,Reigate BC,33840.00,Standard London area budget,25166.64,8673.36,252870.00,Standard London area budget,247246.88,5623.12,0.00,,0.00,0.00,442.70,0.00,104
Daisy Cooper,St Albans CC,33840.00,Standard London area budget,23305.82,10534.18,252870.00,Standard London area budget,234078.61,18791.39,0.00,,0.00,0.00,0.00,0.00,4769
Damian Collins,Folkestone and Hythe CC,30570.00,Standard non-London area budget,21554.15,9015.85,236170.00,Standard non-London area budget,197103.85,39066.15,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",39071.47,8.53,3670.93,0.00,3986
Damian Green,Ashford CC,30570.00,Standard non-London area budget,19023.45,11546.55,236170.00,Standard non-London area budget,214017.10,22152.90,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6153.49,176.51,3325.34,0.00,76
Damian Hinds,East Hampshire CC,30570.00,Standard non-London area budget,4822.39,25747.61,236170.00,Standard non-London area budget,181505.76,54664.24,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",29382.62,9697.38,3589.31,0.00,3969
Damien Egan,Kingswood BC,3758.61,"Standard non-London area budget from 16 February 2024, and a start-up supplement of £6,000",174.21,3584.40,29037.30,Standard non-London area budget from 16 February 2024,12162.06,16875.24,2347.13,Standard budget for renting a property outside the London area from 16 February 2024,0.00,2347.13,0.00,0.00,5010
Damien Moore,Southport BC,30570.00,Standard non-London area budget,22456.43,8113.57,236170.00,Standard non-London area budget,225750.32,10419.68,26840.00,Standard budget for renting a property in the London area,25329.98,1510.02,17992.51,0.00,4669
Dan Carden,"Liverpool, Walton BC",30570.00,Standard non-London area budget,25587.70,4982.30,236170.00,Standard non-London area budget,225619.47,10550.53,19090.00,Standard budget for renting a property outside the London area,8798.43,10291.57,15768.77,0.00,4651
Dan Jarvis,Barnsley Central BC,30570.00,Standard non-London area budget,25775.50,4794.50,236170.00,Standard non-London area budget,234375.16,1794.84,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",31999.82,960.18,18690.45,0.00,4243
Daniel Kawczynski,Shrewsbury and Atcham CC,30570.00,Standard non-London area budget,12004.99,18565.01,236170.00,Standard non-London area budget,231733.57,4436.43,28512.13,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant until 9 July 2023",28360.95,151.18,11853.51,1461.37,1566
Daniel Poulter,Central Suffolk and North Ipswich CC,30570.00,Standard non-London area budget,29300.94,1269.06,236170.00,Standard non-London area budget,224307.94,11862.06,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5194.74,1135.26,12700.54,3222.49,3932
Daniel Zeichner,Cambridge BC,30570.00,Standard non-London area budget,22392.84,8177.16,236170.00,Standard non-London area budget,220437.72,15732.28,0.00,,0.00,0.00,6199.83,0.00,4382
Danny Kruger,Devizes CC,30570.00,Standard non-London area budget,25050.88,5519.12,236170.00,Standard non-London area budget,199228.86,36941.14,37450.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of three dependants",33293.17,4156.83,3504.79,0.00,4858
Darren Henry,Broxtowe CC,30570.00,Standard non-London area budget,23272.15,7297.85,236170.00,Standard non-London area budget,216260.88,19909.12,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",32958.98,1.02,7933.54,0.00,4794
Darren Jones,Bristol North West BC,30570.00,Standard non-London area budget,25906.67,4663.33,236170.00,Standard non-London area budget,217372.44,18797.56,39782.30,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants, and three dependants from 19 February 2024",32965.19,6817.11,9613.80,2141.22,4621
Dave Doogan,Angus CC,30570.00,Standard non-London area budget,21222.27,9347.73,236170.00,Standard non-London area budget,192915.43,43254.57,26840.00,Standard budget for renting a property in the London area,22773.04,4066.96,47801.16,0.00,4736
David Davies,Monmouth CC,30570.00,Standard non-London area budget,21795.76,8774.24,236170.00,Standard non-London area budget,190592.63,45577.37,26840.00,Standard budget for renting a property in the London area,18668.75,8171.25,6074.15,0.00,1545
David Davis,Haltemprice and Howden CC,30570.00,Standard non-London area budget,18823.61,11746.39,236170.00,Standard non-London area budget,173207.74,62962.26,26840.00,Standard budget for renting a property in the London area,26839.98,0.02,5541.27,0.00,373
David Duguid,Banff and Buchan CC,30570.00,Standard non-London area budget,22387.38,8182.62,236170.00,Standard non-London area budget,161775.15,74394.85,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",35511.70,3568.30,39572.21,912.15,4606
David Evennett,Bexleyheath and Crayford BC,33840.00,Standard London area budget,8589.85,25250.15,252870.00,Standard London area budget,155474.13,97395.87,0.00,,0.00,0.00,92.93,0.00,1198
David Johnston,Wantage CC,30570.00,Standard non-London area budget,5364.45,25205.55,236170.00,Standard non-London area budget,113604.31,122565.69,19090.00,Standard budget for renting a property outside the London area,19090.00,0.00,1876.33,0.00,4761
David Jones,Clwyd West CC,30570.00,Standard non-London area budget,22942.98,7627.02,236170.00,Standard non-London area budget,210092.51,26077.49,26840.00,Standard budget for renting a property in the London area,25470.18,1369.82,9177.02,0.00,1502
David Lammy,Tottenham BC,33840.00,Standard London area budget,30576.53,3263.47,252870.00,Standard London area budget,248909.40,3960.60,0.00,,0.00,0.00,0.00,0.00,206
David Linden,Glasgow East BC,30570.00,Standard non-London area budget,29268.11,1301.89,236170.00,Standard non-London area budget,228605.67,7564.33,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",24577.90,14502.10,36033.09,0.00,4640
David Morris,Morecambe and Lunesdale CC,30570.00,Standard non-London area budget,30071.53,498.47,236170.00,Standard non-London area budget,205921.90,30248.10,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",31039.75,1920.25,41713.73,0.00,4135
David Mundell,"Dumfriesshire, Clydesdale and Tweeddale CC",30570.00,Standard non-London area budget,29324.28,1245.72,236170.00,Standard non-London area budget,234136.28,2033.72,26840.00,Standard budget for renting a property in the London area,25108.00,1732.00,33247.65,0.00,1512
David Rutley,Macclesfield CC,30570.00,Standard non-London area budget,11635.54,18934.46,236170.00,Standard non-London area budget,173383.17,62786.83,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",26247.16,6712.84,5556.57,0.00,4033
David Simmonds,"Ruislip, Northwood and Pinner BC",33840.00,Standard London area budget,8599.97,25240.03,252870.00,Standard London area budget,211579.39,41290.61,0.00,,0.00,0.00,1607.07,0.00,4872
David Warburton,Somerton and Frome CC,11776.97,Standard non-London area budget until 19 August 2023,7091.30,4685.67,90983.53,Standard non-London area budget until 19 August 2023,84069.30,6914.22,12697.73,"Standard budget for renting a property in the London area until 19 August 2024, with an uplift to cover the cost of one dependant",11207.30,1490.43,4291.64,75609.44,4526
Dawn Butler,Brent Central BC,33840.00,Standard London area budget,18439.53,15400.47,252870.00,Standard London area budget,217977.95,34892.05,0.00,,0.00,0.00,0.00,0.00,1489
Dean Russell,Watford BC,33840.00,Standard London area budget,28499.47,5340.53,252870.00,Standard London area budget,229360.71,23509.29,0.00,,0.00,0.00,0.00,0.00,4812
Debbie Abrahams,Oldham East and Saddleworth CC,30570.00,Standard non-London area budget,22948.43,7621.57,236170.00,Standard non-London area budget,222475.11,13694.89,26840.00,Standard budget for renting a property in the London area,20849.74,5990.26,10012.71,0.00,4212
Dehenna Davison,Bishop Auckland CC,30570.00,Standard non-London area budget,26540.06,4029.94,236170.00,Standard non-London area budget,235109.83,1060.17,26840.00,Standard budget for renting a property in the London area,26683.87,156.13,5679.01,0.00,4737
Deidre Brock,Edinburgh North and Leith BC,30570.00,Standard non-London area budget,26986.02,3583.98,236170.00,Standard non-London area budget,234486.19,1683.81,26840.00,Standard budget for renting a property in the London area,25314.29,1525.71,10215.90,0.00,4417
Derek Thomas,St Ives CC,30570.00,Standard non-London area budget,21878.13,8691.87,236170.00,Standard non-London area budget,206100.43,30069.57,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",6818.00,38382.00,16651.95,0.00,4532
Derek Twigg,Halton CC,30570.00,Standard non-London area budget,13386.64,17183.36,236170.00,Standard non-London area budget,147125.23,89044.77,26840.00,Standard budget for renting a property in the London area,24041.62,2798.38,7089.62,0.00,429
Desmond Swayne,New Forest West CC,30570.00,Standard non-London area budget,4884.59,25685.41,236170.00,Standard non-London area budget,106619.59,129550.41,26840.00,Standard budget for renting a property in the London area,3935.00,22905.00,1691.25,0.00,55
Diana Johnson,Kingston upon Hull North BC,30570.00,Standard non-London area budget,23824.70,6745.30,236170.00,Standard non-London area budget,212978.85,23191.15,19090.00,Standard budget for renting a property outside the London area,12480.90,6609.10,10602.23,757.43,1533
Diane Abbott,Hackney North and Stoke Newington BC,33840.00,Standard London area budget,10257.31,23582.69,252870.00,Standard London area budget,244269.59,8600.41,0.00,,0.00,0.00,0.00,0.00,172
Dominic Raab,Esher and Walton BC,33840.00,Standard London area budget,8035.11,25804.89,252870.00,Standard London area budget,243813.40,9056.60,0.00,,0.00,0.00,503.23,0.00,4007
Douglas Chapman,Dunfermline and West Fife CC,30570.00,Standard non-London area budget,20237.37,10332.63,236170.00,Standard non-London area budget,225508.26,10661.74,26840.00,Standard budget for renting a property in the London area,14720.00,12120.00,48406.06,0.00,4402
Douglas Ross,Moray CC,30570.00,Standard non-London area budget,28864.74,1705.26,236170.00,Standard non-London area budget,236127.66,42.34,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",23734.98,9225.02,22564.93,0.00,4627
Drew Hendry,"Inverness, Nairn, Badenoch and Strathspey CC",30570.00,Standard non-London area budget,30223.02,346.98,236170.00,Standard non-London area budget,227870.21,8299.79,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",26927.39,6032.61,55092.58,0.00,4467
Duncan Baker,North Norfolk CC,30570.00,Standard non-London area budget,22196.74,8373.26,236170.00,Standard non-London area budget,225591.00,10579.00,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",22495.62,16584.38,7208.59,912.15,4784
Eddie Hughes,Walsall North BC,30570.00,Standard non-London area budget,23531.46,7038.54,236170.00,Standard non-London area budget,119182.85,116987.15,26840.00,Standard budget for renting a property in the London area,16113.21,10726.79,8788.18,0.00,4635
Edward Argar,Charnwood CC,30570.00,Standard non-London area budget,8182.09,22387.91,236170.00,Standard non-London area budget,105186.71,130983.29,19090.00,Standard budget for renting a property outside the London area,19040.00,50.00,10940.93,0.00,4362
Edward Davey,Kingston and Surbiton BC,33840.00,Standard London area budget,26358.31,7481.69,252870.00,Standard London area budget,236617.02,16252.98,0.00,,0.00,0.00,0.00,0.00,188
Edward Leigh,Gainsborough CC,30570.00,Standard non-London area budget,4620.84,25949.16,236170.00,Standard non-London area budget,172337.07,63832.93,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6329.72,0.28,7274.87,0.00,345
Edward Miliband,Doncaster North CC,30570.00,Standard non-London area budget,20149.23,10420.77,236170.00,Standard non-London area budget,185687.42,50482.58,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",12327.02,19002.98,8375.97,0.00,1510
Edward Timpson,Crewe and Nantwich CC,30570.00,Standard non-London area budget,20443.59,10126.41,236170.00,Standard non-London area budget,212884.76,23285.24,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6241.56,88.44,10708.93,0.00,1605
Eleanor Laing,Epping Forest CC,33840.00,Standard London area budget,30816.22,3023.78,252870.00,Standard London area budget,180209.06,72660.94,0.00,,0.00,0.00,0.00,0.00,36
Elizabeth Truss,South West Norfolk CC,30570.00,Standard non-London area budget,17722.04,12847.96,236170.00,Standard non-London area budget,197663.77,38506.23,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),4523.41,1806.59,9681.58,0.00,4097
Ellie Reeves,Lewisham West and Penge BC,33840.00,Standard London area budget,24514.09,9325.91,252870.00,Standard London area budget,227261.51,25608.49,0.00,,0.00,0.00,181.80,0.00,4620
Elliot Colburn,Carshalton and Wallington BC,33840.00,Standard London area budget,32927.56,912.44,252870.00,Standard London area budget,250646.74,2223.26,0.00,,0.00,0.00,2181.90,0.00,4775
Emily Thornberry,Islington South and Finsbury BC,33840.00,Standard London area budget,31416.30,2423.70,252870.00,Standard London area budget,252866.42,3.58,0.00,,0.00,0.00,0.00,912.15,1536
Emma Dent Coad,Kensington BC,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,4683
Emma Hardy,Kingston upon Hull West and Hessle BC,30570.00,Standard non-London area budget,24698.10,5871.90,236170.00,Standard non-London area budget,226011.14,10158.86,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",30251.76,8828.24,12794.65,0.00,4645
Emma Lewell-Buck,South Shields BC,30570.00,Standard non-London area budget,22022.63,8547.37,236170.00,Standard non-London area budget,207973.48,28196.52,26840.00,Standard budget for renting a property in the London area,20268.55,6571.45,15201.62,846.18,4277
Esther McVey,Tatton CC,30570.00,Standard non-London area budget,22192.53,8377.47,236170.00,Standard non-London area budget,190206.23,45963.77,26840.00,Standard budget for renting a property in the London area,21189.29,5650.71,12814.47,0.00,4084
Fabian Hamilton,Leeds North East BC,30570.00,Standard non-London area budget,25307.50,5262.50,236170.00,Standard non-London area budget,215590.43,20579.57,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),2450.52,3879.48,7518.01,0.00,415
Fay Jones,Brecon and Radnorshire CC,30570.00,Standard non-London area budget,26294.89,4275.11,236170.00,Standard non-London area budget,215114.30,21055.70,26840.00,Standard budget for renting a property in the London area,25601.15,1238.85,9394.77,0.00,4763
Felicity Buchan,Kensington BC,33840.00,Standard London area budget,16958.84,16881.16,252870.00,Standard London area budget,156857.35,96012.65,0.00,,0.00,0.00,0.00,0.00,4821
Feryal Clark,Enfield North BC,33840.00,Standard London area budget,25042.47,8797.53,252870.00,Standard London area budget,223483.65,29386.35,0.00,,0.00,0.00,4.00,0.00,4822
Fiona Bruce,Congleton CC,30570.00,Standard non-London area budget,25188.78,5381.22,236170.00,Standard non-London area budget,179246.20,56923.80,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6329.19,0.81,8514.10,0.00,3958
Fleur Anderson,Putney BC,33840.00,Standard London area budget,22554.13,11285.87,252870.00,Standard London area budget,252788.76,81.24,0.00,,0.00,0.00,2371.53,0.00,4788
Flick Drummond,Portsmouth South BC,30570.00,Standard non-London area budget,20397.29,10172.71,236170.00,Standard non-London area budget,196992.22,39177.78,26840.00,Standard budget for renting a property in the London area,0.00,26840.00,2657.78,0.00,4459
Florence Eshalomi,Vauxhall BC,33840.00,Standard London area budget,28777.71,5062.29,252870.00,Standard London area budget,235557.03,17312.97,0.00,,0.00,0.00,0.00,0.00,4870
Francie Molloy,Mid Ulster CC,30570.00,Standard non-London area budget,22949.32,7620.68,236170.00,Standard non-London area budget,226185.51,9984.49,26840.00,Standard budget for renting a property in the London area,3075.00,23765.00,13404.08,0.00,4274
Gagan Mohindra,South West Hertfordshire CC,33840.00,Standard London area budget,6101.34,27738.66,252870.00,Standard London area budget,166123.97,86746.03,0.00,,0.00,0.00,10802.73,0.00,4804
Gareth Bacon,Orpington BC,33840.00,Standard London area budget,20756.01,13083.99,252870.00,Standard London area budget,227910.43,24959.57,0.00,,0.00,0.00,15.20,0.00,4798
Gareth Davies,Grantham and Stamford CC,30570.00,Standard non-London area budget,15208.64,15361.36,236170.00,Standard non-London area budget,194600.10,41569.90,37307.54,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant from 16 July 2023",35648.89,1658.65,4414.56,0.00,4850
Gareth Johnson,Dartford CC,33840.00,Standard London area budget,28176.96,5663.04,252870.00,Standard London area budget,196038.35,56831.65,0.00,,0.00,0.00,5025.45,0.00,3970
Gareth Snell,Stoke-on-Trent Central BC,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,4595
Gareth Thomas,Harrow West BC,33840.00,Standard London area budget,26417.73,7422.27,252870.00,Standard London area budget,252652.39,217.61,0.00,,0.00,0.00,55.75,0.00,177
Gary Sambrook,"Birmingham, Northfield BC",30570.00,Standard non-London area budget,23625.22,6944.78,236170.00,Standard non-London area budget,233684.11,2485.89,26840.00,Standard budget for renting a property in the London area,24765.69,2074.31,12491.30,0.00,4760
Gary Streeter,South West Devon CC,30570.00,Standard non-London area budget,18377.03,12192.97,236170.00,Standard non-London area budget,209361.69,26808.31,26840.00,Standard budget for renting a property in the London area,26293.12,546.88,12253.37,0.00,234
Gavin Newlands,Paisley and Renfrewshire North CC,30570.00,Standard non-London area budget,28159.26,2410.74,236170.00,Standard non-London area budget,195117.79,41052.21,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",34160.21,4919.79,19923.43,0.00,4420
Gavin Robinson,Belfast East BC,30570.00,Standard non-London area budget,22011.05,8558.95,236170.00,Standard non-London area budget,140401.03,95768.97,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",22319.53,10640.47,20326.03,0.00,4360
Gavin Williamson,South Staffordshire CC,30570.00,Standard non-London area budget,30271.12,298.88,236170.00,Standard non-London area budget,193844.70,42325.30,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",25595.51,7364.49,16833.92,0.00,4108
Gen Kitchen,Wellingborough CC,3758.61,"Standard non-London area budget from 16 February 2024, and a start-up supplement of £6,000",0.00,3758.61,29037.30,Standard non-London area budget from 16 February 2024,0.00,29037.30,2399.29,Standard budget for renting a property outside the London area from 15 February 2024,0.00,2399.29,0.00,0.00,5011
Geoffrey Clifton-Brown,The Cotswolds CC,30570.00,Standard non-London area budget,23454.24,7115.76,236170.00,Standard non-London area budget,179246.19,56923.81,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),3589.78,2740.22,6168.30,0.00,249
Geoffrey Cox,Torridge and West Devon CC,30570.00,Standard non-London area budget,22981.46,7588.54,236170.00,Standard non-London area budget,155110.74,81059.26,26840.00,Standard budget for renting a property in the London area,17750.00,9090.00,17815.87,0.00,1508
George Eustice,Camborne and Redruth CC,30570.00,Standard non-London area budget,17858.97,12711.03,236170.00,Standard non-London area budget,197629.86,38540.14,25210.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of one dependant",18388.85,6821.15,10466.04,170.00,3934
George Freeman,Mid Norfolk CC,30570.00,Standard non-London area budget,27714.29,2855.71,236170.00,Standard non-London area budget,207776.75,28393.25,19090.00,Standard budget for renting a property outside the London area,19090.00,0.00,5889.03,0.00,4020
George Galloway,Bradford West BC,2672.79,"Standard non-London area budget from 1 March 2024, and a start-up supplement of £6,000",0.00,2672.79,20648.74,Standard non-London area budget from 1 March 2024,8040.75,12607.99,3828.42,"Standard budget for renting a property in the London area from 1 March 2024, with an uplift to cover the cost of three dependants",0.00,3828.42,2953.44,0.00,609
George Howarth,Knowsley BC,30570.00,Standard non-London area budget,20044.19,10525.81,236170.00,Standard non-London area budget,162671.64,73498.36,26840.00,Standard budget for renting a property in the London area,15176.97,11663.03,12615.22,0.00,481
Geraint Davies,Swansea West BC,30570.00,Standard non-London area budget,22944.03,7625.97,236170.00,Standard non-London area budget,189649.62,46520.38,26840.00,Standard budget for renting a property in the London area,23623.39,3216.61,6649.71,0.00,155
Gerald Jones,Merthyr Tydfil and Rhymney CC,30570.00,Standard non-London area budget,28048.14,2521.86,236170.00,Standard non-London area budget,195076.76,41093.24,26840.00,Standard budget for renting a property in the London area,23978.86,2861.14,6093.30,0.00,4501
Giles Watling,Clacton CC,30570.00,Standard non-London area budget,16622.50,13947.50,236170.00,Standard non-London area budget,229895.71,6274.29,26840.00,Standard budget for renting a property in the London area,19444.47,7395.53,6526.21,912.15,4677
Gill Furniss,"Sheffield, Brightside and Hillsborough BC",30570.00,Standard non-London area budget,22544.85,8025.15,236170.00,Standard non-London area budget,235794.02,375.98,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,5222.50,0.00,4571
Gillian Keegan,Chichester CC,30570.00,Standard non-London area budget,20860.41,9709.59,236170.00,Standard non-London area budget,211711.69,24458.31,0.00,,0.00,0.00,4494.92,0.00,4680
Gordon Henderson,Sittingbourne and Sheppey CC,30570.00,Standard non-London area budget,13756.05,16813.95,236170.00,Standard non-London area budget,100974.15,135195.85,26840.00,Standard budget for renting a property in the London area,0.00,26840.00,5396.75,912.15,4050
Graham Brady,Altrincham and Sale West BC,30570.00,Standard non-London area budget,15571.50,14998.50,236170.00,Standard non-London area budget,220261.45,15908.55,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6330.00,0.00,8231.39,0.00,435
Graham Stringer,Blackley and Broughton BC,30570.00,Standard non-London area budget,15992.82,14577.18,236170.00,Standard non-London area budget,98028.23,138141.77,26840.00,Standard budget for renting a property in the London area,14205.00,12635.00,15812.98,0.00,449
Graham Stuart,Beverley and Holderness CC,30570.00,Standard non-London area budget,24575.72,5994.28,236170.00,Standard non-London area budget,217417.21,18752.79,26840.00,Standard budget for renting a property in the London area,24474.82,2365.18,12176.06,0.00,1482
Grahame Morris,Easington CC,30570.00,Standard non-London area budget,20155.69,10414.31,236170.00,Standard non-London area budget,219109.63,17060.37,26840.00,Standard budget for renting a property in the London area,23360.89,3479.11,7016.67,0.00,3973
Grant Shapps,Welwyn Hatfield CC,33840.00,Standard London area budget,22983.85,10856.15,252870.00,Standard London area budget,239692.71,13177.29,0.00,,0.00,0.00,694.40,0.00,1582
Greg Clark,Tunbridge Wells CC,30570.00,Standard non-London area budget,19807.20,10762.80,236170.00,Standard non-London area budget,191015.28,45154.72,26840.00,Standard budget for renting a property in the London area,26818.25,21.75,3329.75,0.00,1578
Greg Hands,Chelsea and Fulham BC,33840.00,Standard London area budget,10637.95,23202.05,252870.00,Standard London area budget,242098.90,10771.10,0.00,,0.00,0.00,462.72,0.00,1526
Greg Knight,East Yorkshire CC,30570.00,Standard non-London area budget,15035.27,15534.73,236170.00,Standard non-London area budget,145577.88,90592.12,26840.00,Standard budget for renting a property in the London area,24421.52,2418.48,6981.15,912.15,1200
Greg Smith,Buckingham CC,30570.00,Standard non-London area budget,9365.03,21204.97,236170.00,Standard non-London area budget,189992.87,46177.13,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",11443.41,27636.59,8355.58,0.00,4778
Gregory Campbell,East Londonderry CC,30570.00,Standard non-London area budget,22134.45,8435.55,236170.00,Standard non-London area budget,113560.45,122609.55,26840.00,Standard budget for renting a property in the London area,22693.49,4146.51,23529.62,0.00,1409
